epoch,pid,host_cpu_pct,rss_kb,vsz_kb,cpu_time,elapsed_time
1780139828,60285,556.1,1319440,439795840,3:59.02,01:09
1780139829,60285,362.5,1333024,439795840,4:03.21,01:10
1780139830,60285,465.5,1291664,439795840,4:07.87,01:11
1780139831,60285,432.0,1305536,439795840,4:12.42,01:12
1780139832,60285,460.5,1370240,439795840,4:17.03,01:13
1780139833,60285,469.0,1269840,439795840,4:21.75,01:14
1780139834,60285,237.0,1233072,439795840,4:24.29,01:15
1780139835,60285,350.4,1293344,439795840,4:27.90,01:16
1780139836,60285,488.5,1470976,439795840,4:32.20,01:17
1780139837,60285,450.3,1478368,439795840,4:36.85,01:18
1780139838,60285,447.0,1510096,439795840,4:41.36,01:20
1780139840,60285,459.3,1429536,439795840,4:45.86,01:21
1780139841,60285,471.7,1458976,439795840,4:50.70,01:22
1780139842,60285,463.0,1386624,439795840,4:55.46,01:23
1780139843,60285,514.0,978480,439795840,5:00.34,01:24
1780139844,60285,575.9,840976,439795840,5:06.12,01:25
1780139845,60285,642.3,992224,439795840,5:12.50,01:26
1780139846,60285,556.2,1132112,439795840,5:18.10,01:27
1780139847,60285,495.6,1087296,439795840,5:22.94,01:28
1780139848,60285,611.1,1007008,439795840,5:29.16,01:29
1780139849,60285,397.1,776896,439795840,5:33.63,01:30
1780139850,60285,485.1,643456,439795840,5:38.92,01:31
1780139851,60285,476.7,723744,439795840,5:43.29,01:32
1780139852,60285,507.9,793856,439795840,5:48.37,01:33
1780139853,60285,437.5,892656,439795840,5:53.03,01:34
1780139854,60285,498.1,1189008,439795840,5:57.99,01:35
1780139855,60285,343.1,1336544,439795840,6:01.92,01:36
1780139856,60285,309.9,1395344,439795840,6:04.98,01:37
1780139857,60285,607.8,1421824,439795840,6:10.57,01:38
1780139858,60285,626.7,1380224,439795840,6:17.09,01:39
1780139859,60285,632.3,1346064,439795840,6:23.49,01:40
1780139860,60285,539.5,997360,439795840,6:29.16,01:41
1780139861,60285,528.9,937248,439795840,6:34.56,01:42
1780139862,60285,520.2,988432,439795840,6:39.64,01:43
1780139863,60285,517.5,916064,439795840,6:45.17,01:44
1780139864,60285,569.0,831840,439795840,6:51.43,01:45
1780139865,60285,540.0,860160,439795840,6:57.36,01:46
1780139866,60285,480.5,894176,439795840,7:02.44,01:47
1780139867,60285,552.9,905856,439795840,7:07.93,01:48
1780139868,60285,528.5,898032,439795840,7:13.26,01:49
1780139869,60285,616.0,893312,439795840,7:19.24,01:50
1780139870,60285,568.2,968528,439795840,7:25.21,01:51
1780139871,60285,512.7,1024576,439795840,7:30.52,01:52
1780139872,60285,381.9,977008,439795840,7:34.31,01:53
1780139873,60285,469.9,871936,439795840,7:38.59,01:54
1780139874,60285,548.4,822352,439795840,7:44.18,01:55
1780139875,60285,548.9,878064,439795840,7:49.51,01:56
1780139876,60285,511.2,1092064,439795840,7:54.87,01:57
1780139877,60285,462.6,1144752,439795840,7:59.50,01:58
1780139878,60285,518.5,1223120,439795840,8:04.91,01:59
1780139879,60285,515.8,1252544,439795840,8:09.81,02:00
1780139880,60285,464.9,1279232,439795840,8:14.70,02:01
1780139881,60285,339.4,1272976,439795840,8:18.26,02:02
1780139882,60285,357.2,1243872,439795840,8:21.90,02:03
1780139883,60285,454.5,1257776,439795840,8:26.43,02:04
1780139884,60285,331.5,1328480,439795840,8:29.98,02:05
1780139885,60285,406.7,1341664,439795840,8:33.93,02:06
1780139886,60285,443.4,1350144,439795840,8:38.02,02:07
1780139887,60285,515.4,1370080,439795840,8:43.06,02:08
1780139888,60285,447.7,1386912,439795840,8:47.93,02:09
1780139889,60285,455.6,1284912,439795840,8:52.45,02:10
1780139890,60285,472.6,1267616,439795840,8:57.21,02:11
1780139891,60285,422.6,1218592,439795840,9:01.58,02:12
1780139892,60285,343.9,1186080,439795840,9:05.07,02:13
1780139893,60285,237.1,1281632,439795840,9:07.46,02:14
1780139894,60285,215.2,1362016,439795840,9:09.19,02:15
1780139895,60285,546.3,1360400,439795840,9:14.38,02:16
